c_classid;c_instanceid;c_price;c_offers;c_popularity;c_rarity;c_quality;c_heroid;c_slot;c_market_name;c_name_color;c_pop
360454691;188530139;2388;2;213;"Армейское качество";"Прямо с завода";75;Обыч.;"Negev | Почва (Прямо с завода)";D2D2D2;306
360454763;188530139;530;75;1702;"Армейское качество";"После полевых испытаний";19;Обыч.;"Tec-9 | Песчаная буря (После полевых испытаний)";D2D2D2;806
360458273;188530139;3992;3;289;Запрещенное;"После полевых испытаний";3;Обыч.;"MAC-10 | Жар (После полевых испытаний)";D2D2D2;668
360458398;188530139;1050;57;373;"Армейское качество";"Прямо с завода";49;Обыч.;"MAG-7 | Райский страж (Прямо с завода)";D2D2D2;650
360459185;188530139;895;29;289;"Армейское качество";"Немного поношенное";49;Обыч.;"MAG-7 | Райский страж (Немного поношенное)";D2D2D2;381
360460096;188530139;670;53;805;"Армейское качество";"После полевых испытаний";3;Обыч.;"UMP-45 | Капрал (После полевых испытаний)";D2D2D2;637
360460776;188530139;710;90;697;"Армейское качество";"После полевых испытаний";75;Обыч.;"Negev | Почва (После полевых испытаний)";D2D2D2;715
360461073;188530139;4900;3;143;Запрещенное;"Закаленное в боях";17;Обыч.;"FAMAS | Сержант (Закаленное в боях)";D2D2D2;523
360461815;188530139;4190;28;1271;Запрещенное;"Немного поношенное";19;Обыч.;"USP-S | Страж (Немного поношенное)";D2D2D2;1098
360462747;188530170;1970;10;84;"Армейское качество";"После полевых испытаний";49;StatTrak™;"StatTrak™ MAG-7 | Райский страж (После полевых исп";CF6A32;824
360463474;188530139;1080;5;51;"Армейское качество";Поношенное;19;Обыч.;"Tec-9 | Песчаная буря (Поношенное)";D2D2D2;769
360463485;188530139;4305;29;1061;Запрещенное;"Прямо с завода";19;Обыч.;"USP-S | Страж (Прямо с завода)";D2D2D2;1389
360464050;188530139;5700;5;103;Запрещенное;"Немного поношенное";3;Обыч.;"MAC-10 | Жар (Немного поношенное)";D2D2D2;794
360464350;188530170;4940;2;71;"Армейское качество";"Закаленное в боях";19;StatTrak™;"StatTrak™ Tec-9 | Песчаная буря (Закаленное в боях";CF6A32;419
360464355;188530144;11400;9;0;Запрещенное;"После полевых испытаний";19;StatTrak™;"StatTrak™ USP-S | Страж (После полевых испытаний)";CF6A32;1000
360464735;188530139;899;5;74;"Армейское качество";"Закаленное в боях";3;Обыч.;"UMP-45 | Капрал (Закаленное в боях)";D2D2D2;568
360464860;188530144;1230;8;63;"Армейское качество";"После полевых испытаний";75;StatTrak™;"StatTrak™ Negev | Почва (После полевых испытаний)";CF6A32;1306
360465345;188530144;8032;2;0;Запрещенное;"После полевых испытаний";17;StatTrak™;"StatTrak™ FAMAS | Сержант (После полевых испытаний)";CF6A32;1000
360465345;188530170;8053;2;26;Запрещенное;"После полевых испытаний";17;StatTrak™;"StatTrak™ FAMAS | Сержант (После полевых испытаний";CF6A32;1275
360465952;188530139;2918;50;969;Запрещенное;"После полевых испытаний";17;Обыч.;"SG 553 | Пульс (После полевых испытаний)";D2D2D2;907
360466315;188530139;3760;26;1264;Запрещенное;"После полевых испытаний";19;Обыч.;"USP-S | Страж (После полевых испытаний)";D2D2D2;885
360466399;188530139;3800;11;348;Запрещенное;"После полевых испытаний";17;Обыч.;"FAMAS | Сержант (После полевых испытаний)";D2D2D2;696
360466705;188530170;1230;11;133;"Армейское качество";"После полевых испытаний";3;StatTrak™;"StatTrak™ UMP-45 | Капрал (После полевых испытаний";CF6A32;1320
360467255;188530170;1319;8;18;"Армейское качество";"Закаленное в боях";3;StatTrak™;"StatTrak™ UMP-45 | Капрал (Закаленное в боях)";CF6A32;1221
360467259;188530139;31250;34;1143;Засекреченное;"После полевых испытаний";17;Обыч.;"AK-47 | Красная линия (После полевых испытаний)";D2D2D2;1169
360467262;188530144;1500;15;0;"Армейское качество";"Немного поношенное";75;StatTrak™;"StatTrak™ Negev | Почва (Немного поношенное)";CF6A32;1000
360467265;188530144;2300;7;601;"Армейское качество";"После полевых испытаний";19;StatTrak™;"StatTrak™ Tec-9 | Песчаная буря (После полевых исп";CF6A32;928
360467265;188530299;5600;1;0;"Армейское качество";"После полевых испытаний";19;StatTrak™;"StatTrak™ Tec-9 | Песчаная буря (После полевых испытаний)";CF6A32;286
360468798;188530139;1200;2;23;"Армейское качество";Поношенное;75;Обыч.;"Negev | Почва (Поношенное)";D2D2D2;427
360468988;188530139;16998;7;21;Засекреченное;Поношенное;3;Обыч.;"P90 | Треугольник (Поношенное)";D2D2D2;1208
360470161;188530144;10272;7;0;Запрещенное;"После полевых испытаний";3;StatTrak™;"StatTrak™ MAC-10 | Жар (После полевых испытаний)";CF6A32;1000
360470458;188530170;1788;15;66;"Армейское качество";"Немного поношенное";49;StatTrak™;"StatTrak™ MAG-7 | Райский страж (Немного поношенно";CF6A32;1194
360472300;188530139;17100;7;190;Засекреченное;"Немного поношенное";49;Обыч.;"Nova | Антиквариат (Немного поношенное)";D2D2D2;1197
360472690;188530144;7700;3;0;Запрещенное;"Закаленное в боях";17;StatTrak™;"StatTrak™ FAMAS | Сержант (Закаленное в боях)";CF6A32;1000
360473095;188530139;16000;17;752;Засекреченное;"После полевых испытаний";3;Обыч.;"P90 | Треугольник (После полевых испытаний)";D2D2D2;1302
360475072;188530139;10490;130;541;Тайное;"Немного поношенное";17;Обыч.;"AUG | Хамелеон (Немного поношенное)";D2D2D2;1214
360475142;188530139;10700;554;1598;Тайное;"После полевых испытаний";17;Обыч.;"AUG | Хамелеон (После полевых испытаний)";D2D2D2;1056
360475627;188530144;2700;7;40;"Армейское качество";"Прямо с завода";49;StatTrak™;"StatTrak™ MAG-7 | Райский страж (Прямо с завода)";CF6A32;1174
360477761;188530139;1500;2;19;"Армейское качество";Поношенное;3;Обыч.;"UMP-45 | Капрал (Поношенное)";D2D2D2;372
360478270;188530170;51400;17;373;Тайное;"После полевых испытаний";17;StatTrak™;"StatTrak™ AUG | Хамелеон (После полевых испытаний)";CF6A32;958
360478745;188530144;17600;7;0;Запрещенное;"Немного поношенное";19;StatTrak™;"StatTrak™ USP-S | Страж (Немного поношенное)";CF6A32;1000
360478745;188533135;19900;1;0;Запрещенное;"Немного поношенное";19;StatTrak™;"StatTrak™ USP-S | Страж (Немного поношенное)";CF6A32;1000
360479494;188530139;228800;30;381;Тайное;"После полевых испытаний";47;Обыч.;"AWP | Азимов (После полевых испытаний)";D2D2D2;1251
